date,number,winners,page,pédantix,pedantix,cémantix,cemantix,is_holiday,visitor,difficulty_mean,difficulty_std
2022-12-13,214,17215,Le Caravage,7.0,25.0,14.0,74.0,False,,0.6920794398091654,0.08840504543573056
2022-12-14,215,18128,Mois,5.0,21.0,12.0,74.0,False,,0.7460587207302866,0.10285886769471587
2022-12-15,216,11838,Dust Bowl,7.0,21.0,12.0,66.0,False,,0.4774476408072715,0.0653443280554592
2022-12-16,217,13466,Vélo tout-terrain,11.0,29.0,13.0,71.0,False,,0.581320186593337,0.07580230873245764
2022-12-17,218,8961,Pierre Abélard,0.0,17.0,9.0,65.0,True,,0.5829806051382269,0.08184423105590023
2022-12-18,219,13776,République centrafricaine,0.0,18.0,10.0,56.0,True,,0.78932536444106,0.10091240380026281
2022-12-19,220,12254,Holothurie,5.0,22.0,6.0,52.0,True,,0.5298775950213533,0.060226300470503376
2022-12-20,221,15187,Batman,6.0,24.0,8.0,62.0,True,,0.6638601560181965,0.07303032600359415
2022-12-21,222,14236,Grégoire VII,4.0,25.0,11.0,61.0,True,,0.6230799650152788,0.09195430609781637
2022-12-22,223,16163,Guerres d'Italie,0.0,19.0,12.0,73.0,True,,0.6923619216990724,0.09816992190778052
2022-12-23,224,14705,Constitution des États-Unis,0.0,19.0,10.0,77.0,True,,0.6798477849473176,0.10244270941907044
2022-12-24,225,9904,Dynastie Qin,0.0,21.0,0.0,42.0,True,,0.6384059066121334,0.0673546702975661
2022-12-25,226,11404,Pur-sang,0.0,22.0,7.0,80.0,True,,0.654114938469892,0.08731324972741973
2022-12-26,227,13640,Guerre de tranchées,5.0,22.0,7.0,71.0,True,,0.5666196500765439,0.0896092429725707
2022-12-27,228,13437,Cicéron,4.0,17.0,9.0,71.0,True,,0.5833877306903265,0.06771924256418001
2022-12-28,229,14677,Orange (fleuve),0.0,19.0,11.0,76.0,True,,0.6377888512993239,0.09650973984727505
2022-12-29,230,13960,Éolienne,0.0,20.0,8.0,66.0,True,,0.6065165685827174,0.07126505668717636
2022-12-30,231,12229,Histoire du Viêt Nam,6.0,22.0,13.0,100.0,True,,0.5633691136427283,0.06527339153738063
2022-12-31,232,10928,Train,0.0,21.0,10.0,85.0,True,,0.6793757075630477,0.07609951162643645
2023-01-01,233,14260,Comores (pays),0.0,22.0,8.0,75.0,True,,0.799508439174016,0.095041016595932
2023-01-02,234,13453,Wayne Gretzky,8.0,23.0,11.0,81.0,True,,0.560095427785787,0.05619903288230872
2023-01-03,235,17610,Raisin,8.0,21.5,7.0,68.5,True,,0.7541078360784494,0.0891133851009582
2023-01-04,236,11513,Cybernétique,8.0,26.0,14.0,94.0,False,,0.47054829175972623,0.06484542453714023
2023-01-05,237,16223,Tracteur agricole,6.0,26.0,12.0,75.0,False,,0.6374412530565415,0.09886182953252222
2023-01-06,238,17067,Sirène,8.0,27.0,14.0,100.0,False,,0.7094656269791233,0.10181827319736786
2023-01-07,239,13683,Île de Pâques,0.0,18.0,7.0,76.0,False,,0.7699806092757092,0.09539799700619782
2023-01-08,240,15810,Empire colonial français,6.0,23.0,9.0,69.0,False,,0.7996590524553012,0.09424378803294862
