date,number,winners,page,pédantix,pedantix,cémantix,cemantix,is_holiday
2023-03-17,308,14971,Patate douce,10.0,27.0,11.0,57.0,False
2023-03-18,309,12047,Reggae,6.0,16.0,10.0,64.0,False
2023-03-19,310,13722,Aconcagua,0.0,16.0,7.0,53.0,False
2023-03-20,311,15333,Vaccination,9.0,27.0,13.0,57.0,False
2023-03-21,312,16213,Échelle des temps géologiques,10.0,29.0,9.0,60.0,False
2023-03-22,313,15755,Musique médiévale,7.0,31.0,9.0,57.0,False
2023-03-23,314,14336,Pterosauria,10.0,30.0,11.0,61.0,False
2023-03-24,315,16051,Mythologie grecque,8.0,30.0,11.0,64.0,False
2023-03-25,316,11164,Symphonie no 8 de Mahler,0.0,19.0,9.0,54.0,False
2023-03-26,317,11006,Cholestérol,5.0,20.0,5.0,66.0,False
2023-03-27,318,13371,Urartu,13.0,32.0,16.0,74.0,False
2023-03-28,319,12517,Métrologie,12.0,27.0,15.0,66.0,False
2023-03-29,320,16982,Sclérose en plaques,12.0,26.0,10.0,52.0,False
2023-03-30,321,17556,Google,11.0,24.0,15.0,65.0,False
2023-03-31,322,17520,Traité de Versailles,8.0,25.0,14.0,68.0,False
2023-04-01,323,10397,Wikipédia,6.0,17.0,7.0,50.0,False
2023-04-02,324,12883,Radiothérapie,7.0,16.0,8.0,55.0,False
2023-04-03,325,20444,Mali,9.0,30.0,14.0,76.0,False
2023-04-04,326,16398,Disque dur,13.5,28.5,16.5,66.0,False
2023-04-05,327,19456,Élisabeth II,13.0,28.0,16.0,79.0,False
2023-04-06,328,13322,Puritanisme,12.0,39.0,15.0,88.0,False
2023-04-07,329,13995,Mouammar Kadhafi,13.0,43.0,17.0,86.0,False
2023-04-08,330,11987,Che Guevara,9.0,27.0,0.0,75.0,True
2023-04-09,331,12217,Athéna,8.0,28.0,7.0,71.0,True
2023-04-10,332,15965,Toronto,7.0,22.0,9.0,77.0,True
2023-04-11,333,16536,Pégase,12.0,41.0,14.0,80.0,True
2023-04-12,334,19410,Histoire de la Chine,9.0,30.0,12.0,68.0,True
2023-04-13,335,16616,Domitien,10.0,27.0,12.0,64.0,True
2023-04-14,336,15413,Otton Ier (empereur du Saint-Empire),9.0,37.0,15.0,78.0,True
2023-04-15,337,8723,Potentiel thermodynamique,0.0,40.0,11.0,82.0,True
2023-04-16,338,16389,Conquête de l'Ouest,0.0,24.0,9.0,86.0,True
2023-04-17,339,17843,Chimpanzé,14.0,27.0,9.0,58.0,True
2023-04-18,340,15557,Hicham El Guerrouj,9.0,32.0,16.0,91.0,True
2023-04-19,341,20072,Bretagne,7.0,28.0,8.0,60.0,True
2023-04-20,342,18214,Rhinocéros,8.0,34.0,12.0,86.0,True
2023-04-21,343,14882,Mombasa,6.0,34.0,9.0,100.0,True
2023-04-22,344,12724,Édouard III,10.0,21.0,10.0,68.0,True
2023-04-23,345,11312,Zombie,9.0,28.0,0.0,80.0,True
2023-04-24,346,18268,Mars (mythologie),6.0,31.0,16.0,89.0,True
2023-04-25,347,13849,Baliste,13.0,38.0,14.0,67.0,True
2023-04-26,348,19945,Maroc,12.0,32.0,17.0,85.0,True
2023-04-27,349,18796,Liechtenstein,15.0,24.0,13.0,98.0,True
2023-04-28,350,14674,Cirque,8.0,35.0,19.0,95.0,True
2023-04-29,351,12667,Union africaine,8.0,22.0,0.0,71.0,True
2023-04-30,352,13597,Cameroun,0.0,24.0,8.0,67.0,True
2023-05-01,353,15738,Mayotte,9.0,22.0,10.0,83.0,True
2023-05-02,354,17098,Sphinx,9.0,30.0,14.0,73.0,True
2023-05-03,355,17367,Sanglier,14.0,26.0,17.0,63.0,True
2023-05-04,356,16834,Berbères,11.0,29.0,13.0,73.0,True
2023-05-05,357,14204,Walter Scott,10.0,35.0,11.0,76.0,True
2023-05-06,358,7661,Essai randomisé contrôlé,0.0,32.0,7.0,61.0,True
2023-05-07,359,11764,Khmers rouges,8.0,22.0,7.0,61.0,True
2023-05-08,360,12539,Recyclage,10.0,25.0,8.0,63.0,True
2023-05-09,361,17767,Jean sans Terre,10.0,27.0,14.0,75.0,True
2023-05-10,362,15204,Cumulus,16.0,37.0,14.0,83.0,False
2023-05-11,363,15783,Passeport,12.0,38.0,7.0,72.0,False
